date,ticker,open,high,low,close,volume,source,ingested_at,ret_1d,ret_5d,ret_20d,ma_20,ma_50,ma_200,vol_20d,avg_vol_20d,turnover,turnover_20d,rsi_14,atr_14,atr_pct,ma_slope_20,ma_slope_50,dist_ma_20,dist_ma_50,vol_60d,vol_ratio,ret_5d_20d_ratio,high_low_range,close_position,volume_ratio_20d,turnover_ratio_20d,rsi_slope,obv_slope,mfi_14,high_20,low_20,dist_high_20,dist_low_20,ma_gap_20_50,ma_stack_bullish,rank_ret_20d,rank_vol_20d,market_breadth_ma20_pct,market_breadth_ma50_pct,market_avg_ret20_pct,market_median_atr_pct,relative_ret_20d,score,reason,mode,rank,sizing_method,entry,stop,tp1,tp2,trailing_stop_rule,risk_per_share,size,position_value,risk_budget_base,risk_budget_effective,vol_target_multiplier,vol_target_multiplier_market,vol_target_multiplier_asset,vol_target_multiplier_asset_atr,vol_target_multiplier_asset_realized,vol_target_market_vol_index,vol_target_market_regime,vol_target_regime_cap_enabled,vol_target_regime_cap,vol_target_regime_cap_raw,vol_target_realized_weight,vol_target_ref_realized_pct,arb_protection_enabled,arb_worst_case_loss_pct,arb_worst_case_idr
2026-07-27,AKRA,1440.0,1460.0,1415.0,1455.0,27150900.0,canonical_csv,2026-07-27 13:21:11.750390,0.006920415224913601,0.03191489361702127,0.1733870967741935,1342.5,1304.6,1294.35,0.021374355170481137,17304630.0,39504559500.0,23833552875.0,64.70144989365994,55.01559438561302,3.781140507599671,0.006185567010305027,-0.0014707903780058682,0.07731958762881284,0.10336769759443074,0.024560520515923643,0.8702728546143951,0.18406729235750205,0.030927835051525136,0.8888888888691359,1.5689962744074852,1.6575186967377393,-3.137713095377805,0.3549700086996889,54.03930584563105,1520.0,1195.0,-0.042763157895366555,0.21757322175630334,0.026048109965617898,1.0,0.8863636363636364,0.3181818181818182,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,0.10512277328605156,100.0,Trend MA20 + momentum 5D + volatility sehat,t1,1,volatility,1455.0,1344.97,1565.03,1675.06,If Close >= TP1 -> Stop Loss = Entry (Break-Even),110.03,500,727500.0,60000.0,60000.0,1.0,1.1368,1.15,1.0602,1.15,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,142330.0
2026-07-27,SMRA,334.0,334.0,316.0,318.0,14634800.0,canonical_csv,2026-07-27 13:21:11.750390,-0.04790419161676651,0.03921568627450989,0.15217391304347827,295.7,292.28,352.98,0.02394241394414043,15900660.0,4653866400.0,4898183130.0,59.99332977830769,10.890805672031954,3.424781657860914,0.0072955974842537664,-0.0003899371069170157,0.07012578616330153,0.08088050314439983,0.02450299110763166,0.9771220526444756,0.25770307953901617,0.056603773584727665,0.11111111110493826,0.9203894681101287,0.9501209482137104,-4.021533876624041,0.4880276875812324,67.90545478376691,344.0,266.0,-0.07558139535152442,0.19548872180001697,0.010754716981098306,0.0,0.8636363636363636,0.5227272727272727,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,0.08390958955533633,100.0,Trend MA20 + momentum 5D + volatility sehat,t1,2,volatility,318.0,296.22,339.78,361.56,If Close >= TP1 -> Stop Loss = Entry (Break-Even),21.78,2700,858600.0,60000.0,60000.0,1.0,1.1368,1.15,1.15,1.15,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,167979.0
2026-07-27,MEDC,1295.0,1305.0,1250.0,1300.0,55322400.0,canonical_csv,2026-07-27 13:21:11.750390,-0.018867924528301883,0.023622047244094446,0.22065727699530524,1201.75,1228.3,1440.9,0.028342072808223765,49251830.0,71919120000.0,60728373150.0,57.85259195798253,59.70999864306298,4.5930768186936195,0.00957692307691571,-0.005476923076918868,0.07557692307686494,0.05515384615380376,0.036281695320923874,0.7811672463582889,0.10705310723808092,0.04230769230765977,0.9090909090743802,1.1232557247111428,1.1842754262881154,-2.964548505614772,0.3874724770917116,70.1512980041306,1425.0,1005.0,-0.08771929824625424,0.2935323383071706,-0.020423076923061178,0.0,0.9772727272727273,0.7045454545454546,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,0.1523929535071633,100.0,Trend MA20 + momentum 5D + volatility sehat,t1,3,volatility,1300.0,1180.58,1419.42,1538.84,If Close >= TP1 -> Stop Loss = Entry (Break-Even),119.42,500,650000.0,60000.0,60000.0,1.0,1.1368,0.9341,0.8728,1.0341,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,127168.0
2026-07-27,TKIM,5925.0,6300.0,5850.0,6225.0,5197900.0,canonical_csv,2026-07-27 13:21:11.750390,0.05063291139240511,0.020491803278688492,0.09691629955947145,5700.0,5810.6,7337.025,0.028297916622880614,2410065.0,32356927500.0,13803683375.0,60.14265614010001,276.40387399457506,4.440222875414147,0.0023694779116462056,-0.007807228915661396,0.08433734939757681,0.06657028112448724,0.0404457693968178,0.6996508249254919,0.2114381498302647,0.0722891566264944,0.8333333333314815,2.1567468097333466,2.3440792302293736,1.5010252168637521,0.3220899620382581,65.75687962046726,6300.0,5250.0,-0.011904761904918848,0.18571428571405968,-0.017767068273089572,0.0,0.6818181818181818,0.6818181818181818,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,0.028651976071329507,99.43,Trend MA20 + momentum 5D + volatility sehat,t1,4,volatility,6225.0,5672.19,6777.81,7330.62,If Close >= TP1 -> Stop Loss = Entry (Break-Even),552.81,100,622500.0,60000.0,60000.0,1.0,1.1368,0.9538,0.9028,1.0357,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,121788.0
2026-07-27,PGAS,1510.0,1535.0,1500.0,1530.0,31769300.0,canonical_csv,2026-07-27 13:21:11.750390,0.00990099009900991,0.020000000000000018,0.05882352941176472,1463.0,1584.1,1828.275,0.02329723441665117,33472575.0,48607029000.0,49000727675.0,51.89948106667801,46.67117666516948,3.050403703603855,0.0009477124183000341,-0.0047843137254870724,0.043790849673173995,-0.035359477124159835,0.02938262628838589,0.792891465694761,0.3399999942200003,0.0228758169934491,0.8571428571183675,0.9491143122391988,0.9919654524803952,3.2114521222350376,0.22043692946013993,71.01606353395599,1580.0,1350.0,-0.031645569620866065,0.13333333333249375,-0.07915032679733383,0.0,0.5,0.45454545454545453,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,-0.009440794076377226,99.33,Trend MA20 + momentum 5D + volatility sehat,t1,5,volatility,1530.0,1436.66,1623.34,1716.68,If Close >= TP1 -> Stop Loss = Entry (Break-Even),93.34,600,918000.0,60000.0,60000.0,1.0,1.1368,1.15,1.15,1.15,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,179600.0
2026-07-27,INKP,7600.0,8175.0,7600.0,7950.0,6275300.0,canonical_csv,2026-07-27 13:21:11.750390,0.03583061889250816,0.019230769230769162,0.11188811188811187,7441.25,7543.5,8559.25,0.020362263811802644,3550175.0,49888635000.0,26442115875.0,60.91915998814543,301.6989215678274,3.794954988274081,0.004056603773584395,-0.003937106918238498,0.06399371069181585,0.05113207547169168,0.031070474079503817,0.6553573371407819,0.1718749984638666,0.07232704402514813,0.6086956521728545,1.7676030054856446,1.8867111556366705,1.731775081545834,0.23644226793613446,58.49096072124071,8175.0,6875.0,-0.027522935779935476,0.15636363636346817,-0.012861635220124167,0.0,0.8181818181818182,0.2727272727272727,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,0.04362378839996993,99.16,Trend MA20 + momentum 5D + volatility sehat,t1,6,volatility,7950.0,7346.6,8553.4,9156.8,If Close >= TP1 -> Stop Loss = Entry (Break-Even),603.4,0,0.0,60000.0,60000.0,1.0,1.1368,1.15,1.0563,1.15,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,0.0
2026-07-27,INDF,6800.0,6925.0,6800.0,6875.0,5749000.0,canonical_csv,2026-07-27 13:21:11.750390,0.0036496350364962904,0.011029411764705843,0.014760147601476037,6775.0,6672.5,6809.25,0.014053806430357765,4992950.0,39524375000.0,33906746750.0,56.67517742755837,136.0693450048122,1.9791904727969802,0.000981818181818039,-0.0003345454545454058,0.014545454545452429,0.029454545454541167,0.018525928335671432,0.7586019667740688,0.7472425964331338,0.018181818181815537,0.5999999999951999,1.1514235071450742,1.1656787745347466,1.9780743087551116,0.2729518545957731,78.18404360031738,7000.0,6575.0,-0.017857142857283237,0.045627376425696475,0.01490909090908874,0.0,0.2727272727272727,0.18181818181818182,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,-0.05350417588666591,97.41,Trend MA20 + momentum 5D + volatility sehat,t1,7,volatility,6875.0,6602.86,7147.14,7419.28,If Close >= TP1 -> Stop Loss = Entry (Break-Even),272.14,200,1375000.0,60000.0,60000.0,1.0,1.1368,1.15,1.15,1.15,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,269009.0
2026-07-27,ESSA,630.0,635.0,605.0,610.0,61769100.0,canonical_csv,2026-07-27 13:21:11.750390,-0.046875,0.008264462809917328,0.051724137931034475,579.5,625.0,672.35,0.03603770391648904,75461950.0,37679151000.0,44156817300.0,50.531561334871725,31.621045948746435,5.1837780243761635,0.0,-0.007557377049167942,0.049999999999918034,-0.024590163934385918,0.04035661515699723,0.8929813088464466,0.15977961123599588,0.049180327868771835,0.1666666666611111,0.8185463004865365,0.8533031432951578,-0.6954752930705581,0.2152040932720579,75.21960178669775,670.0,505.0,-0.08955223880732899,0.20792079207681602,-0.07459016393430395,0.0,0.4772727272727273,0.8863636363636364,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,-0.01654018555710747,96.82,Trend MA20 + momentum 5D + volatility sehat,t1,8,volatility,610.0,546.76,673.24,736.48,If Close >= TP1 -> Stop Loss = Entry (Break-Even),63.24,900,549000.0,60000.0,57873.54,0.9646,1.1368,0.7891,0.7733,0.8133,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,107408.0
2026-07-27,ICBP,6975.0,7050.0,6875.0,6950.0,1978400.0,canonical_csv,2026-07-27 13:21:11.750390,-0.0035842293906810374,0.007246376811594235,0.022058823529411686,6810.0,6711.5,7707.75,0.014044502757915339,2808080.0,13749880000.0,19317091875.0,56.59311120702574,170.28315591390864,2.4501173512789083,0.002733812949639894,-0.00010791366906473266,0.020143884892083432,0.03431654676258499,0.02251565565608597,0.6237660740895655,0.328502400566831,0.025179856115104288,0.4285714285689796,0.7045383322412464,0.7117986542164231,-1.8386607418089298,0.2711076179090706,63.84613282908339,7125.0,6550.0,-0.024561403508908897,0.061068702289914345,0.014172661870501558,0.0,0.3181818181818182,0.1590909090909091,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,-0.04620549995873026,96.6,Trend MA20 + momentum 5D + volatility sehat,t1,9,volatility,6950.0,6609.43,7290.57,7631.13,If Close >= TP1 -> Stop Loss = Entry (Break-Even),340.57,100,695000.0,60000.0,60000.0,1.0,1.1368,1.15,1.15,1.15,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,135972.0
2026-07-27,ISAT,1920.0,1950.0,1885.0,1915.0,9435000.0,canonical_csv,2026-07-27 13:21:11.750390,-0.017948717948717996,0.002617801047120505,0.09742120343839544,1881.75,1931.5,2084.45,0.02837978533685757,14596530.0,18068025000.0,27853681250.0,52.21842077760379,70.77415519472193,3.6957783391480405,0.004569190600519807,-0.002955613577021951,0.017362924281975268,-0.008616187989551636,0.03212877750178843,0.8833135481723287,0.02687095753138505,0.03394255874671857,0.4615384615313609,0.6463865041896943,0.6486763755867997,-0.9340906062929335,0.36325810961433086,54.730612862085394,2050.0,1695.0,-0.06585365853704106,0.12979351032381725,-0.025979112271526904,0.0,0.7045454545454546,0.7272727272727273,79.54545454545455,56.81818181818182,6.826432348814195,3.492663069848165,0.029156879950253498,95.61,Trend MA20 + momentum 5D + volatility sehat,t1,10,volatility,1915.0,1773.45,2056.55,2198.1,If Close >= TP1 -> Stop Loss = Entry (Break-Even),141.55,400,766000.0,60000.0,60000.0,1.0,1.1368,1.0636,1.0847,1.0327,0.8797,normal,True,1.0,1.0,0.4,2.9309,True,19.56,149863.0
