date,ticker,close_primary,close_reference,matched,close_diff_pct,mismatch
2026-08-05,AADI,9100.0,9100,True,0.0,False
2026-08-05,ADMR,1615.0,1615,True,0.0,False
2026-08-05,ADRO,2550.0,2550,True,0.0,False
2026-08-05,AKRA,1445.0,1445,True,0.0,False
2026-08-05,AMMN,4420.0,4420,True,0.0,False
2026-08-05,AMRT,1425.0,1425,True,0.0,False
2026-08-05,ANTM,3070.0,3070,True,0.0,False
2026-08-05,ASII,5025.0,5025,True,0.0,False
2026-08-05,BBCA,6450.0,6450,True,0.0,False
2026-08-05,BBNI,3630.0,3630,True,0.0,False
2026-08-05,BBRI,3020.0,3020,True,0.0,False
2026-08-05,BBTN,1220.0,1220,True,0.0,False
2026-08-05,BMRI,4220.0,4220,True,0.0,False
2026-08-05,BRPT,1870.0,1870,True,0.0,False
2026-08-05,BUMI,179.0,179,True,0.0,False
2026-08-05,CPIN,3110.0,3110,True,0.0,False
2026-08-05,CUAN,675.0,675,True,0.0,False
2026-08-05,DEWA,480.0,480,True,0.0,False
2026-08-05,EMTK,530.0,530,True,0.0,False
2026-08-05,ESSA,630.0,630,True,0.0,False
2026-08-05,EXCL,2560.0,2560,True,0.0,False
2026-08-05,GOTO,50.0,50,True,0.0,False
2026-08-05,HRTA,2000.0,2000,True,0.0,False
2026-08-05,ICBP,7300.0,7300,True,0.0,False
2026-08-05,INCO,5425.0,5425,True,0.0,False
2026-08-05,INDF,7250.0,7250,True,0.0,False
2026-08-05,INDY,2590.0,2590,True,0.0,False
2026-08-05,INKP,8375.0,8375,True,0.0,False
2026-08-05,ISAT,1900.0,1900,True,0.0,False
2026-08-05,ITMG,24700.0,24700,True,0.0,False
2026-08-05,JPFA,2230.0,2230,True,0.0,False
2026-08-05,KLBF,800.0,800,True,0.0,False
2026-08-05,MAPI,1670.0,1670,True,0.0,False
2026-08-05,MBMA,550.0,550,True,0.0,False
2026-08-05,MDKA,2910.0,2910,True,0.0,False
2026-08-05,MEDC,1315.0,1315,True,0.0,False
2026-08-05,NCKL,940.0,940,True,0.0,False
2026-08-05,PGAS,1505.0,1505,True,0.0,False
2026-08-05,PGEO,1010.0,1010,True,0.0,False
2026-08-05,PTBA,2360.0,2360,True,0.0,False
2026-08-05,SCMA,204.0,204,True,0.0,False
2026-08-05,TLKM,2710.0,2710,True,0.0,False
2026-08-05,UNTR,23800.0,23800,True,0.0,False
2026-08-05,UNVR,1845.0,1845,True,0.0,False
2026-08-05,WIFI,1980.0,1980,True,0.0,False
2026-08-06,AADI,8950.0,8950,True,0.0,False
2026-08-06,ADMR,1595.0,1595,True,0.0,False
2026-08-06,ADRO,2500.0,2500,True,0.0,False
2026-08-06,AKRA,1430.0,1430,True,0.0,False
2026-08-06,AMMN,4320.0,4320,True,0.0,False
2026-08-06,AMRT,1400.0,1400,True,0.0,False
