mode,regime_status,trade_count,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,worst_mae_r,avg_mfe_r,median_score,tp1_touch_rate_pct,tp2_hit_rate_pct,stop_rate_pct,breakeven_rate_pct,live_trade_count,live_expectancy_r,live_profit_factor_r
swing,risk_off,1267,32.36,-0.2235,0.5581,0.8721,-0.7476,-0.7747,-4.04,0.756,55.08,28.89,7.73,38.91,10.18,292,-0.2483,0.5366
t1,risk_off,1480,30.81,-0.1286,0.4061,0.2854,-0.3129,-0.2894,-3.4339,0.254,96.945,3.04,0.14,2.5,0.0,936,-0.1264,0.414
swing,risk_on,725,34.07,-0.122,0.7401,1.02,-0.7122,-0.7449,-2.407,0.8604,66.58,31.31,12.28,36.14,10.21,307,-0.0826,0.8268
t1,risk_on,750,33.73,-0.1065,0.4903,0.3038,-0.3154,-0.2845,-2.3423,0.3024,98.035,4.27,0.4,2.4,0.0,557,-0.1094,0.497
