ticker,mode,edge_samples,raw_win_rate,raw_expectancy_r,shrunk_p_win,shrunk_expectancy_r,prior_p_win,prior_expectancy_r
BBRI,t1,99,0.282828,-0.186196,0.291663,-0.172383,0.335397,-0.104005
INDF,swing,135,0.42963,-0.181502,0.418773,-0.17638,0.345487,-0.141809
ITMG,swing,174,0.304598,-0.183156,0.308813,-0.178893,0.345487,-0.141809
ASII,t1,95,0.242105,-0.197741,0.25833,-0.181439,0.335397,-0.104005
BBCA,t1,48,0.145833,-0.219159,0.201587,-0.18529,0.335397,-0.104005
ICBP,swing,107,0.392523,-0.200889,0.385116,-0.191585,0.345487,-0.141809
GOTO,swing,107,0.308411,-0.210852,0.31425,-0.199979,0.345487,-0.141809
BBCA,swing,62,0.387097,-0.219657,0.376948,-0.20067,0.345487,-0.141809
MAPI,swing,190,0.389474,-0.215998,0.385284,-0.208932,0.345487,-0.141809
MDKA,swing,147,0.326531,-0.230771,0.328801,-0.220117,0.345487,-0.141809
PGAS,swing,180,0.338889,-0.230071,0.339549,-0.221245,0.345487,-0.141809
INKP,swing,115,0.330435,-0.240475,0.332665,-0.225858,0.345487,-0.141809
KLBF,swing,122,0.295082,-0.277315,0.302181,-0.25823,0.345487,-0.141809
SIDO,swing,128,0.320312,-0.289162,0.323714,-0.26925,0.345487,-0.141809
AKRA,swing,154,0.318182,-0.293954,0.32132,-0.276466,0.345487,-0.141809
ISAT,swing,186,0.284946,-0.306919,0.290824,-0.290888,0.345487,-0.141809
BBNI,swing,104,0.211538,-0.337389,0.233143,-0.305844,0.345487,-0.141809
SMGR,swing,69,0.231884,-0.418324,0.257413,-0.356186,0.345487,-0.141809
SMRA,swing,69,0.275362,-0.426049,0.291121,-0.362175,0.345487,-0.141809
MBMA,swing,80,0.225,-0.427987,0.249097,-0.370751,0.345487,-0.141809
MIKA,swing,73,0.260274,-0.445311,0.278599,-0.380042,0.345487,-0.141809
BBTN,swing,96,0.229167,-0.448227,0.249222,-0.395396,0.345487,-0.141809
INTP,swing,85,0.176471,-0.623201,0.208664,-0.531508,0.345487,-0.141809
CPIN,swing,82,0.146341,-0.684707,0.18539,-0.578256,0.345487,-0.141809
