mode,regime_status,candidate_count,v1_live_count,v2_recommended_count,v2_recommended_rate_pct,all_precision_pct,all_expectancy_r,all_profit_factor_r,v2_precision_pct,v2_expectancy_r,v2_profit_factor_r,v2_avg_mae_r,v2_avg_mfe_r
swing,risk_off,1277,291,0,0.0,32.89,-0.2183,0.565,0.0,0.0,0.0,0.0,0.0
swing,risk_on,625,264,0,0.0,33.44,-0.1094,0.7669,0.0,0.0,0.0,0.0,0.0
t1,risk_off,1475,926,37,2.51,31.05,-0.1288,0.4048,83.78,0.3526,30.9876,-0.1221,0.6031
t1,risk_on,665,484,41,6.17,33.53,-0.1087,0.4845,82.93,0.3903,9.0955,-0.1214,0.6979
