ticker,status,reason,start_date,end_date,updated_at,source
ADHI,SUSPEND,Penghentian Sementara Perdagangan Efek PT Adhi Karya (Persero) Tbk. (ADHI),2026-08-24,2026-09-07,2026-08-26,idx_announcement_suspend
EKAD,UMA,UMA atas Saham PT Ekadharma International Tbk. (EKAD),2026-08-14,2026-08-28,2026-08-26,idx_announcement_uma
GRIA,SUSPEND,Penghentian Sementara Perdagangan (Suspend) Saham PT Ingria Pratama Capitalindo Tbk. (GRIA),2026-08-24,2026-09-07,2026-08-26,idx_announcement_suspend
INCF,SUSPEND,Penghentian Sementara Perdagangan Efek PT Indo Komoditi Korpora Tbk (INCF),2026-08-12,2026-08-26,2026-08-26,idx_announcement_suspend
