date,ticker,open,high,low,close,volume,source,ingested_at,ret_1d,ret_5d,ret_20d,ma_20,ma_50,ma_200,vol_20d,avg_vol_20d,turnover,turnover_20d,rsi_14,atr_14,atr_pct,ma_slope_20,ma_slope_50,dist_ma_20,dist_ma_50,vol_60d,vol_ratio,ret_5d_20d_ratio,high_low_range,close_position,volume_ratio_20d,turnover_ratio_20d,rsi_slope,obv_slope,mfi_14,high_20,low_20,dist_high_20,dist_low_20,ma_gap_20_50,ma_stack_bullish,rank_ret_20d,rank_vol_20d,market_breadth_ma20_pct,market_breadth_ma50_pct,market_avg_ret20_pct,market_median_atr_pct,relative_ret_20d,score,reason,mode,rank,sizing_method,entry,stop,tp1,tp2,trailing_stop_rule,risk_per_share,size,position_value,risk_budget_base,risk_budget_effective,vol_target_multiplier,vol_target_multiplier_market,vol_target_multiplier_asset,vol_target_multiplier_asset_atr,vol_target_multiplier_asset_realized,vol_target_market_vol_index,vol_target_market_regime,vol_target_regime_cap_enabled,vol_target_regime_cap,vol_target_regime_cap_raw,vol_target_realized_weight,vol_target_ref_realized_pct,arb_protection_enabled,arb_worst_case_loss_pct,arb_worst_case_idr,liq_bucket,est_slippage_pct,est_roundtrip_cost_pct,edge_samples,edge_win_rate_pct,edge_expectancy_r,edge_profit_factor_r,edge_avg_win_r,edge_avg_loss_r,edge_gross_profit_r,edge_gross_loss_r,edge_last_executed_at,edge_confidence,ev_p_win,ev_reward_r,ev_loss_r,ev_cost_r,ev_expected_r,profit_quality_score,profit_quality_action,profit_quality_reason,shadow_p_win,shadow_confidence,shadow_market_regime,shadow_expected_r,shadow_threshold,shadow_recommended,shadow_model_source,shadow_status,shadow_block_reason,shadow_rank
2026-09-14,MEDC,1595.0,1625.0,1560.0,1575.0,125089700.0,split_adjusted_csv,2026-09-14 16:22:13.269737,0.012861736334405238,0.06060606060606055,0.19771863117870714,1450.0,1340.3,1439.95,0.02614335180724172,56854460.0,197016277500.0,83524870275.0,69.2842559306604,61.24494522890348,3.8885679510390223,0.007904761904756885,0.00561269841269484,0.07936507936502897,0.14901587301577843,0.027858456142056787,0.9384350207885045,0.3065268049764881,0.04126984126981507,0.23076923076568046,2.2001739177542095,2.3587738221123504,5.196965561743852,0.233317967801457,94.87906588600559,1645.0,1320.0,-0.04255319148994374,0.19318181818091418,0.06965079365074946,0.0,0.9333333333333333,0.6666666666666666,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.16694726223453157,70.55,Trend stack + relative momentum + breakout proximity + volume confirmation + volatility discipline,swing,2,volatility,1575.0,1452.51,1697.49,1819.98,If Close >= TP1 -> Stop Loss = Entry (Break-Even),122.49,500,787500.0,60000.0,66686.95,1.1114,1.15,1.0661,1.0309,1.1211,0.609,calm,True,1.15,1.15,0.4,2.9309,True,19.56,154069.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5045,2.0,1.0,0.072,0.4415,74.9649,watch,profit_quality_watch_insufficient_edge,0.475,0.475,risk_off,-0.0989,0.5875,False,model,ready,,1
2026-09-14,PTBA,3100.0,3160.0,3020.0,3080.0,46598300.0,split_adjusted_csv,2026-09-14 16:22:13.269737,-0.006451612903225823,0.023255813953488413,0.30508474576271194,2703.0,2505.4,2591.3,0.021593008516218298,48469195.0,143522764000.0,138147364650.0,84.05869966303987,98.67781990855903,3.2038253217054216,0.01165584415584037,0.0037922077922065665,0.12240259740255766,0.18655844155838097,0.017427235752318183,1.239037996849729,0.07622738993102222,0.0454545454545307,0.4285714285683674,0.9614003286004646,1.0389106181186931,-2.208632304261826,0.7305733534624171,86.46760816937886,3200.0,2350.0,-0.03750000000030074,0.31063829787178276,0.0641558441558233,0.0,0.9777777777777777,0.4888888888888889,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.2743133768185364,68.92,Trend stack + relative momentum + breakout proximity + volume confirmation + volatility discipline,swing,3,volatility,3080.0,2882.64,3277.36,3474.71,If Close >= TP1 -> Stop Loss = Entry (Break-Even),197.36,300,924000.0,60000.0,69000.0,1.15,1.15,1.15,1.15,1.15,0.609,calm,True,1.15,1.15,0.4,2.9309,True,19.56,180774.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5016,1.9999,1.0,0.0874,0.4175,73.0945,watch,profit_quality_watch_insufficient_edge,0.4697,0.4697,risk_off,-0.108,0.5875,False,model,ready,,2
2026-09-14,AMMN,4800.0,5100.0,4800.0,5100.0,169146700.0,split_adjusted_csv,2026-09-14 16:22:13.269737,0.04938271604938271,0.15646258503401356,0.20853080568720372,4495.0,4189.6,5307.1,0.030337902701330584,68506155.0,862648170000.0,315314553900.0,71.46432263038864,188.8147508588843,3.7022500168401424,0.005372549019606789,0.004603921568626552,0.11862745098036889,0.17850980392153354,0.03534301096872139,0.858384755894027,0.7503092109968552,0.058823529411753166,0.9999999999966667,2.469073034386472,2.735833659849343,15.608949330190612,0.2720323593904166,63.6273522949744,5100.0,4140.0,-1.9617640845126516e-13,0.23188405797071687,0.05988235294116465,0.0,0.9555555555555556,0.8888888888888888,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.17775943674302816,76.87,Trend stack + relative momentum + breakout proximity + volume confirmation + volatility discipline,swing,1,volatility,5100.0,4722.37,5477.63,5855.26,If Close >= TP1 -> Stop Loss = Entry (Break-Even),377.63,100,510000.0,60000.0,65790.92,1.0965,1.15,1.0345,1.0828,0.9661,0.609,calm,True,1.15,1.15,0.4,2.9309,True,19.56,99778.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5157,2.0,1.0,0.0756,0.4713,81.5833,watch,profit_quality_watch_insufficient_edge,0.4664,0.4664,risk_off,-0.1136,0.5875,False,model,ready,,3
2026-09-14,ANTM,3240.0,3250.0,3100.0,3190.0,153989700.0,split_adjusted_csv,2026-09-14 16:22:13.269737,-0.024464831804281384,0.03571428571428581,0.039087947882736174,3144.5,3050.0,3393.05,0.01949183592570781,111390495.0,491227143000.0,351902041050.0,55.30584302233099,101.14816569628226,3.170788893299391,0.0019435736677109895,0.0023761755485886024,0.014263322884008068,0.04388714733540944,0.025488352623028912,0.7647349928516685,0.9136904528152309,0.04702194357365297,0.5999999999960001,1.382431238859294,1.3959201303132083,5.489682271286583,0.012512662360762851,50.54194225972939,3330.0,3010.0,-0.04204204204232975,0.05980066445147525,0.02962382445140137,0.0,0.6666666666666666,0.35555555555555557,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.008316578938560616,98.38,Trend MA20 + momentum 5D + volatility sehat,t1,6,volatility,3190.0,2987.7,3392.3,3594.59,If Close >= TP1 -> Stop Loss = Entry (Break-Even),202.3,300,957000.0,60000.0,69000.0,1.15,1.15,1.15,1.15,1.15,0.7436,calm,True,1.15,1.15,0.4,2.9309,True,19.56,187230.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5043,2.0,1.0,0.0883,0.4245,102.6248,watch,profit_quality_watch_insufficient_edge,0.3072,0.3072,risk_off,-0.1464,0.52,False,model,ready,,4
2026-09-14,AMMN,4800.0,5100.0,4800.0,5100.0,169146700.0,split_adjusted_csv,2026-09-14 16:22:13.269737,0.04938271604938271,0.15646258503401356,0.20853080568720372,4495.0,4189.6,5307.1,0.030337902701330584,68506155.0,862648170000.0,315314553900.0,71.46432263038864,188.8147508588843,3.7022500168401424,0.005372549019606789,0.004603921568626552,0.11862745098036889,0.17850980392153354,0.03534301096872139,0.858384755894027,0.7503092109968552,0.058823529411753166,0.9999999999966667,2.469073034386472,2.735833659849343,15.608949330190612,0.2720323593904166,63.6273522949744,5100.0,4140.0,-1.9617640845126516e-13,0.23188405797071687,0.05988235294116465,0.0,0.9555555555555556,0.8888888888888888,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.17775943674302816,100.0,Trend MA20 + momentum 5D + volatility sehat,t1,2,volatility,5100.0,4722.37,5477.63,5855.26,If Close >= TP1 -> Stop Loss = Entry (Break-Even),377.63,100,510000.0,60000.0,65790.92,1.0965,1.15,1.0345,1.0828,0.9661,0.7436,calm,True,1.15,1.15,0.4,2.9309,True,19.56,99778.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5063,2.0,1.0,0.0756,0.4433,104.4332,watch,profit_quality_watch_insufficient_edge,0.2866,0.2866,risk_off,-0.1578,0.52,False,model,ready,,5
2026-09-14,MEDC,1595.0,1625.0,1560.0,1575.0,125089700.0,split_adjusted_csv,2026-09-14 16:22:13.269737,0.012861736334405238,0.06060606060606055,0.19771863117870714,1450.0,1340.3,1439.95,0.02614335180724172,56854460.0,197016277500.0,83524870275.0,69.2842559306604,61.24494522890348,3.8885679510390223,0.007904761904756885,0.00561269841269484,0.07936507936502897,0.14901587301577843,0.027858456142056787,0.9384350207885045,0.3065268049764881,0.04126984126981507,0.23076923076568046,2.2001739177542095,2.3587738221123504,5.196965561743852,0.233317967801457,94.87906588600559,1645.0,1320.0,-0.04255319148994374,0.19318181818091418,0.06965079365074946,0.0,0.9333333333333333,0.6666666666666666,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.16694726223453157,100.0,Trend MA20 + momentum 5D + volatility sehat,t1,3,volatility,1575.0,1452.51,1697.49,1819.98,If Close >= TP1 -> Stop Loss = Entry (Break-Even),122.49,500,787500.0,60000.0,66686.95,1.1114,1.15,1.0661,1.0309,1.1211,0.7436,calm,True,1.15,1.15,0.4,2.9309,True,19.56,154069.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5063,2.0,1.0,0.072,0.4469,104.4694,watch,profit_quality_watch_insufficient_edge,0.2863,0.2863,risk_off,-0.158,0.52,False,model,ready,,6
2026-09-14,AKRA,1520.0,1550.0,1505.0,1510.0,13711200.0,split_adjusted_csv,2026-09-14 16:22:13.269737,-0.006578947368421018,0.04137931034482767,0.07857142857142851,1429.75,1407.8,1338.15,0.02564988415828996,19389855.0,20703912000.0,28208007100.0,61.277893348552965,45.76081854520452,3.0305177844486235,0.004039735099335073,0.002841059602647116,0.053145695364203216,0.06768211920525322,0.020846444982791455,1.2304200044201155,0.5266457613223156,0.029801324503291524,0.11111111110864198,0.7071326732458804,0.7339728725465331,3.1812357403661906,0.293257374535099,55.136918670756316,1560.0,1350.0,-0.03205128205190255,0.11851851851769002,0.014536423841050005,1.0,0.8,0.6444444444444445,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.04780005962725296,99.41,Trend MA20 + momentum 5D + volatility sehat,t1,5,volatility,1510.0,1418.48,1601.52,1693.04,If Close >= TP1 -> Stop Loss = Entry (Break-Even),91.52,700,1057000.0,60000.0,69000.0,1.15,1.15,1.15,1.15,1.1427,0.7436,calm,True,1.15,1.15,0.4,2.9309,True,19.56,206795.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5056,2.0,1.0,0.0924,0.4243,103.6532,watch,profit_quality_watch_insufficient_edge,0.2792,0.2792,risk_off,-0.162,0.52,False,model,ready,,7
2026-09-14,PTBA,3100.0,3160.0,3020.0,3080.0,46598300.0,split_adjusted_csv,2026-09-14 16:22:13.269737,-0.006451612903225823,0.023255813953488413,0.30508474576271194,2703.0,2505.4,2591.3,0.021593008516218298,48469195.0,143522764000.0,138147364650.0,84.05869966303987,98.67781990855903,3.2038253217054216,0.01165584415584037,0.0037922077922065665,0.12240259740255766,0.18655844155838097,0.017427235752318183,1.239037996849729,0.07622738993102222,0.0454545454545307,0.4285714285683674,0.9614003286004646,1.0389106181186931,-2.208632304261826,0.7305733534624171,86.46760816937886,3200.0,2350.0,-0.03750000000030074,0.31063829787178276,0.0641558441558233,0.0,0.9777777777777777,0.4888888888888889,44.44444444444444,48.888888888888886,3.077136894417556,3.3293214324957328,0.2743133768185364,96.1,Trend MA20 + momentum 5D + volatility sehat,t1,7,volatility,3080.0,2882.64,3277.36,3474.71,If Close >= TP1 -> Stop Loss = Entry (Break-Even),197.36,300,924000.0,60000.0,69000.0,1.15,1.15,1.15,1.15,1.15,0.7436,calm,True,1.15,1.15,0.4,2.9309,True,19.56,180774.0,high,0.08,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5014,1.9999,1.0,0.0874,0.4167,100.2675,watch,profit_quality_watch_insufficient_edge,0.2668,0.2668,risk_off,-0.1689,0.52,False,model,ready,,8
