ticker,status,reason,start_date,end_date,updated_at,source
BELI,UMA,UMA atas Saham PT Global Digital Niaga Tbk. (BELI),2026-09-02,2026-09-16,2026-09-09,idx_announcement_uma
EKAD,SUSPEND,Penghentian Sementara Perdagangan (Suspend) Saham PT Ekadharma International Tbk. (EKAD),2026-08-26,2026-09-09,2026-09-09,idx_announcement_suspend
GRPH,SUSPEND,Penghentian Sementara Perdagangan (Suspend) Saham PT Griptha Putra Persada Tbk. (GRPH),2026-09-07,2026-09-21,2026-09-09,idx_announcement_suspend
KKES,UMA,UMA atas Saham PT Kusuma Kemindo Sentosa Tbk. (KKES),2026-09-02,2026-09-16,2026-09-09,idx_announcement_uma
SAFE,SUSPEND,Penghentian Sementara Perdagangan (Suspend) PT Steady Safe Tbk (SAFE),2026-08-28,2026-09-11,2026-09-09,idx_announcement_suspend
SQMI,UMA,UMA atas Saham PT Wilton Makmur Indonesia Tbk. (SQMI),2026-09-02,2026-09-16,2026-09-09,idx_announcement_uma
VICI,UMA,UMA atas Saham PT Victoria Care Indonesia Tbk. (VICI),2026-09-07,2026-09-21,2026-09-09,idx_announcement_uma
