date,ticker,close_primary,close_reference,matched,close_diff_pct,mismatch
2026-08-19,AADI,9725.0,9725,True,0.0,False
2026-08-19,ADMR,1635.0,1635,True,0.0,False
2026-08-19,ADRO,2560.0,2560,True,0.0,False
2026-08-19,AKRA,1390.0,1390,True,0.0,False
2026-08-19,AMMN,4140.0,4140,True,0.0,False
2026-08-19,AMRT,1355.0,1355,True,0.0,False
2026-08-19,ANTM,3030.0,3030,True,0.0,False
2026-08-19,ASII,4730.0,4730,True,0.0,False
2026-08-19,BBCA,6300.0,6300,True,0.0,False
2026-08-19,BBNI,3560.0,3560,True,0.0,False
2026-08-19,BBRI,3080.0,3080,True,0.0,False
2026-08-19,BBTN,1200.0,1200,True,0.0,False
2026-08-19,BMRI,4140.0,4140,True,0.0,False
2026-08-19,BRPT,1855.0,1855,True,0.0,False
2026-08-19,BUMI,182.0,182,True,0.0,False
2026-08-19,CPIN,2960.0,2960,True,0.0,False
2026-08-19,CUAN,815.0,815,True,0.0,False
2026-08-19,DEWA,440.0,440,True,0.0,False
2026-08-19,EMTK,525.0,525,True,0.0,False
2026-08-19,ESSA,620.0,620,True,0.0,False
2026-08-19,EXCL,2860.0,2860,True,0.0,False
2026-08-19,GOTO,50.0,50,True,0.0,False
2026-08-19,HRTA,2170.0,2170,True,0.0,False
2026-08-19,ICBP,7675.0,7675,True,0.0,False
2026-08-19,INCO,5075.0,5075,True,0.0,False
2026-08-19,INDF,7275.0,7275,True,0.0,False
2026-08-19,INDY,2600.0,2600,True,0.0,False
2026-08-19,INKP,8625.0,8625,True,0.0,False
2026-08-19,ISAT,2740.0,2740,True,0.0,False
2026-08-19,ITMG,25000.0,25000,True,0.0,False
2026-08-19,JPFA,2290.0,2290,True,0.0,False
2026-08-19,KLBF,780.0,780,True,0.0,False
2026-08-19,MAPI,1500.0,1500,True,0.0,False
2026-08-19,MBMA,510.0,510,True,0.0,False
2026-08-19,MDKA,2850.0,2850,True,0.0,False
2026-08-19,MEDC,1425.0,1425,True,0.0,False
2026-08-19,NCKL,925.0,925,True,0.0,False
2026-08-19,PGAS,1505.0,1505,True,0.0,False
2026-08-19,PGEO,1050.0,1050,True,0.0,False
2026-08-19,PTBA,2370.0,2370,True,0.0,False
2026-08-19,SCMA,208.0,208,True,0.0,False
2026-08-19,TLKM,2600.0,2600,True,0.0,False
2026-08-19,UNTR,23575.0,23575,True,0.0,False
2026-08-19,UNVR,1780.0,1780,True,0.0,False
2026-08-19,WIFI,2060.0,2060,True,0.0,False
2026-08-20,AADI,9900.0,9900,True,0.0,False
2026-08-20,ADMR,1690.0,1690,True,0.0,False
2026-08-20,ADRO,2560.0,2560,True,0.0,False
2026-08-20,AKRA,1395.0,1395,True,0.0,False
2026-08-20,AMMN,4470.0,4470,True,0.0,False
2026-08-20,AMRT,1375.0,1375,True,0.0,False
2026-08-20,ANTM,3140.0,3140,True,0.0,False
2026-08-20,ASII,4790.0,4790,True,0.0,False
2026-08-20,BBCA,6400.0,6400,True,0.0,False
2026-08-20,BBNI,3590.0,3590,True,0.0,False
2026-08-20,BBRI,3140.0,3140,True,0.0,False
2026-08-20,BBTN,1205.0,1205,True,0.0,False
2026-08-20,BMRI,4150.0,4150,True,0.0,False
2026-08-20,BRPT,1880.0,1880,True,0.0,False
2026-08-20,BUMI,190.0,190,True,0.0,False
2026-08-20,CPIN,3020.0,3020,True,0.0,False
2026-08-20,CUAN,825.0,825,True,0.0,False
2026-08-20,DEWA,456.0,456,True,0.0,False
2026-08-20,EMTK,550.0,550,True,0.0,False
2026-08-20,ESSA,635.0,635,True,0.0,False
2026-08-20,EXCL,2830.0,2830,True,0.0,False
2026-08-20,GOTO,50.0,50,True,0.0,False
2026-08-20,HRTA,2340.0,2340,True,0.0,False
2026-08-20,ICBP,7700.0,7700,True,0.0,False
2026-08-20,INCO,5250.0,5250,True,0.0,False
2026-08-20,INDF,7350.0,7350,True,0.0,False
2026-08-20,INDY,2690.0,2690,True,0.0,False
2026-08-20,INKP,8650.0,8650,True,0.0,False
2026-08-20,ISAT,2730.0,2730,True,0.0,False
2026-08-20,ITMG,25400.0,25400,True,0.0,False
2026-08-20,JPFA,2250.0,2250,True,0.0,False
2026-08-20,KLBF,825.0,825,True,0.0,False
2026-08-20,MAPI,1515.0,1515,True,0.0,False
2026-08-20,MBMA,565.0,565,True,0.0,False
2026-08-20,MDKA,2940.0,2940,True,0.0,False
2026-08-20,MEDC,1420.0,1420,True,0.0,False
2026-08-20,NCKL,950.0,950,True,0.0,False
2026-08-20,PGAS,1525.0,1525,True,0.0,False
2026-08-20,PGEO,1070.0,1070,True,0.0,False
2026-08-20,PTBA,2400.0,2400,True,0.0,False
2026-08-20,SCMA,220.0,220,True,0.0,False
2026-08-20,TLKM,2610.0,2610,True,0.0,False
2026-08-20,UNTR,23825.0,23825,True,0.0,False
2026-08-20,UNVR,1835.0,1835,True,0.0,False
2026-08-20,WIFI,2120.0,2120,True,0.0,False
2026-08-21,AADI,9800.0,9800,True,0.0,False
2026-08-21,ADMR,1675.0,1675,True,0.0,False
2026-08-21,ADRO,2550.0,2550,True,0.0,False
2026-08-21,AKRA,1380.0,1380,True,0.0,False
2026-08-21,AMMN,4480.0,4480,True,0.0,False
2026-08-21,AMRT,1440.0,1440,True,0.0,False
2026-08-21,ANTM,3170.0,3170,True,0.0,False
2026-08-21,ASII,4780.0,4780,True,0.0,False
2026-08-21,BBCA,6450.0,6450,True,0.0,False
2026-08-21,BBNI,3730.0,3730,True,0.0,False
2026-08-21,BBRI,3230.0,3230,True,0.0,False
2026-08-21,BBTN,1225.0,1225,True,0.0,False
2026-08-21,BMRI,4220.0,4220,True,0.0,False
2026-08-21,BRPT,1890.0,1890,True,0.0,False
2026-08-21,BUMI,196.0,196,True,0.0,False
2026-08-21,CPIN,3030.0,3030,True,0.0,False
2026-08-21,CUAN,835.0,835,True,0.0,False
2026-08-21,DEWA,458.0,458,True,0.0,False
2026-08-21,EMTK,540.0,540,True,0.0,False
2026-08-21,ESSA,625.0,625,True,0.0,False
2026-08-21,EXCL,2840.0,2840,True,0.0,False
2026-08-21,GOTO,50.0,50,True,0.0,False
2026-08-21,HRTA,2340.0,2340,True,0.0,False
2026-08-21,ICBP,7625.0,7625,True,0.0,False
2026-08-21,INCO,5200.0,5200,True,0.0,False
2026-08-21,INDF,7375.0,7375,True,0.0,False
2026-08-21,INDY,2670.0,2670,True,0.0,False
2026-08-21,INKP,8750.0,8750,True,0.0,False
2026-08-21,ISAT,2720.0,2720,True,0.0,False
2026-08-21,ITMG,25200.0,25200,True,0.0,False
2026-08-21,JPFA,2210.0,2210,True,0.0,False
2026-08-21,KLBF,810.0,810,True,0.0,False
2026-08-21,MAPI,1510.0,1510,True,0.0,False
2026-08-21,MBMA,565.0,565,True,0.0,False
2026-08-21,MDKA,2950.0,2950,True,0.0,False
2026-08-21,MEDC,1390.0,1390,True,0.0,False
2026-08-21,NCKL,955.0,955,True,0.0,False
2026-08-21,PGAS,1520.0,1520,True,0.0,False
2026-08-21,PGEO,1065.0,1065,True,0.0,False
2026-08-21,PTBA,2400.0,2400,True,0.0,False
2026-08-21,SCMA,216.0,216,True,0.0,False
2026-08-21,TLKM,2610.0,2610,True,0.0,False
2026-08-21,UNTR,23900.0,23900,True,0.0,False
2026-08-21,UNVR,1795.0,1795,True,0.0,False
2026-08-21,WIFI,2090.0,2090,True,0.0,False
2026-08-24,AADI,10250.0,10250,True,0.0,False
2026-08-24,ADMR,1680.0,1680,True,0.0,False
2026-08-24,ADRO,2630.0,2630,True,0.0,False
2026-08-24,AKRA,1390.0,1390,True,0.0,False
2026-08-24,AMMN,4500.0,4500,True,0.0,False
2026-08-24,AMRT,1415.0,1415,True,0.0,False
2026-08-24,ANTM,3190.0,3190,True,0.0,False
2026-08-24,ASII,4790.0,4790,True,0.0,False
2026-08-24,BBCA,6400.0,6400,True,0.0,False
2026-08-24,BBNI,3680.0,3680,True,0.0,False
2026-08-24,BBRI,3180.0,3180,True,0.0,False
2026-08-24,BBTN,1210.0,1210,True,0.0,False
2026-08-24,BMRI,4200.0,4200,True,0.0,False
2026-08-24,BRPT,1860.0,1860,True,0.0,False
2026-08-24,BUMI,194.0,194,True,0.0,False
2026-08-24,CPIN,3020.0,3020,True,0.0,False
2026-08-24,CUAN,825.0,825,True,0.0,False
2026-08-24,DEWA,452.0,452,True,0.0,False
2026-08-24,EMTK,525.0,525,True,0.0,False
2026-08-24,ESSA,615.0,615,True,0.0,False
2026-08-24,EXCL,2700.0,2700,True,0.0,False
2026-08-24,GOTO,50.0,50,True,0.0,False
2026-08-24,HRTA,2400.0,2400,True,0.0,False
2026-08-24,ICBP,7750.0,7750,True,0.0,False
2026-08-24,INCO,5275.0,5275,True,0.0,False
2026-08-24,INDF,7375.0,7375,True,0.0,False
2026-08-24,INDY,2720.0,2720,True,0.0,False
2026-08-24,INKP,8725.0,8725,True,0.0,False
