ticker,mode,edge_samples,raw_win_rate,raw_expectancy_r,shrunk_p_win,shrunk_expectancy_r,prior_p_win,prior_expectancy_r
BBCA,swing,66,0.424242,-0.180629,0.406132,-0.171543,0.346366,-0.141562
BBRI,t1,100,0.28,-0.188021,0.289129,-0.17411,0.334775,-0.104556
INDF,swing,138,0.434783,-0.183144,0.423591,-0.17788,0.346366,-0.141562
ITMG,swing,174,0.304598,-0.183156,0.308904,-0.178868,0.346366,-0.141562
ASII,t1,95,0.242105,-0.197741,0.258222,-0.181535,0.334775,-0.104556
BBCA,t1,48,0.145833,-0.219159,0.201405,-0.185452,0.334775,-0.104556
ICBP,swing,109,0.394495,-0.194369,0.387033,-0.186182,0.346366,-0.141562
GOTO,swing,107,0.308411,-0.210852,0.314388,-0.19994,0.346366,-0.141562
MDKA,swing,147,0.326531,-0.230771,0.328906,-0.220087,0.346366,-0.141562
PGAS,swing,180,0.338889,-0.230071,0.339637,-0.22122,0.346366,-0.141562
INKP,swing,115,0.330435,-0.240475,0.332795,-0.225821,0.346366,-0.141562
MAPI,swing,196,0.377551,-0.248559,0.374663,-0.238652,0.346366,-0.141562
KLBF,swing,122,0.295082,-0.277315,0.302305,-0.258195,0.346366,-0.141562
AKRA,swing,155,0.322581,-0.285481,0.325299,-0.269033,0.346366,-0.141562
SIDO,swing,128,0.320312,-0.289162,0.323833,-0.269216,0.346366,-0.141562
ISAT,swing,186,0.284946,-0.306919,0.290909,-0.290864,0.346366,-0.141562
BBNI,swing,104,0.211538,-0.337389,0.233285,-0.305804,0.346366,-0.141562
SMGR,swing,69,0.231884,-0.418324,0.25761,-0.35613,0.346366,-0.141562
SMRA,swing,69,0.275362,-0.426049,0.291318,-0.36212,0.346366,-0.141562
MIKA,swing,75,0.28,-0.42836,0.293972,-0.367982,0.346366,-0.141562
MBMA,swing,80,0.225,-0.427987,0.249273,-0.370702,0.346366,-0.141562
BBTN,swing,96,0.229167,-0.448227,0.249373,-0.395353,0.346366,-0.141562
INTP,swing,85,0.176471,-0.623201,0.208832,-0.531461,0.346366,-0.141562
CPIN,swing,82,0.146341,-0.684707,0.185562,-0.578208,0.346366,-0.141562
