date,ticker,open,high,low,close,volume,source,ingested_at
2026-09-15,AADI,12275.0,12350.0,12150.0,12275.0,4782200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ADMR,1600.0,1605.0,1575.0,1580.0,16604600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ADRO,2620.0,2640.0,2580.0,2590.0,26711100,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,AKRA,1505.0,1510.0,1465.0,1490.0,13876200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,AMMN,5100.0,5125.0,4970.0,5050.0,77865200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,AMRT,1290.0,1310.0,1285.0,1300.0,31110600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ANTM,3190.0,3290.0,3160.0,3270.0,136346800,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ASII,4980.0,4980.0,4890.0,4890.0,30001800,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BBCA,6500.0,6500.0,6350.0,6400.0,95608200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BBNI,3870.0,3870.0,3740.0,3750.0,39238000,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BBRI,3400.0,3400.0,3320.0,3320.0,158042700,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BBTN,1215.0,1215.0,1185.0,1185.0,7955100,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BMRI,4440.0,4450.0,4330.0,4340.0,128314600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BRPT,1655.0,1675.0,1620.0,1620.0,37740300,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,BUMI,210.0,212.0,204.0,208.0,2751551200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,CPIN,3130.0,3150.0,3080.0,3090.0,33737600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,CUAN,940.0,950.0,915.0,920.0,174906600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,DEWA,406.0,410.0,392.0,396.0,323426400,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,EMTK,496.0,500.0,492.0,492.0,21766400,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ESSA,650.0,655.0,615.0,620.0,106490400,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,EXCL,2560.0,2600.0,2550.0,2550.0,3888900,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,GOTO,50.0,50.0,50.0,50.0,4653300,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,HRTA,2120.0,2180.0,2110.0,2150.0,4255900,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ICBP,7150.0,7150.0,6850.0,6900.0,10118100,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,INCO,4700.0,4710.0,4630.0,4640.0,12017400,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,INDF,7350.0,7350.0,7250.0,7275.0,2381300,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,INDY,2790.0,2810.0,2740.0,2740.0,10372200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,INKP,8875.0,8875.0,8675.0,8675.0,3803000,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ISAT,2390.0,2420.0,2350.0,2390.0,40947000,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,ITMG,26350.0,26375.0,26125.0,26175.0,1177100,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,JPFA,2270.0,2320.0,2220.0,2270.0,13510200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,KLBF,740.0,780.0,730.0,770.0,123325000,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,MAPI,1330.0,1440.0,1330.0,1385.0,17814200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,MBMA,505.0,510.0,496.0,496.0,64350000,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,MDKA,2880.0,2900.0,2810.0,2810.0,23912200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,MEDC,1585.0,1600.0,1555.0,1565.0,28192700,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,NCKL,920.0,945.0,910.0,915.0,34051500,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,PGAS,1550.0,1555.0,1525.0,1530.0,25470500,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,PGEO,1030.0,1070.0,1015.0,1055.0,31702800,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,PTBA,3080.0,3090.0,3020.0,3020.0,22338600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,SCMA,199.0,200.0,195.0,195.0,25707200,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,TLKM,2720.0,2720.0,2670.0,2700.0,142432700,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,UNTR,26400.0,26500.0,26050.0,26100.0,3085100,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,UNVR,1625.0,1635.0,1620.0,1625.0,20072700,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-15,WIFI,1945.0,1970.0,1935.0,1940.0,7327300,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,AADI,12275.0,12475.0,12250.0,12400.0,7319400,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,ADMR,1580.0,1615.0,1510.0,1510.0,66181500,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,ADRO,2590.0,2680.0,2580.0,2600.0,53235800,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,AKRA,1515.0,1515.0,1475.0,1475.0,6541100,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,AMMN,5075.0,5275.0,5050.0,5150.0,101755700,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,AMRT,1300.0,1315.0,1295.0,1300.0,22212300,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,ANTM,3260.0,3340.0,3200.0,3220.0,142697700,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,ASII,4910.0,4910.0,4830.0,4850.0,35084600,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,BBCA,6350.0,6425.0,6325.0,6325.0,72157400,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,BBNI,3750.0,3780.0,3730.0,3730.0,20577300,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,BBRI,3310.0,3360.0,3310.0,3330.0,118364900,yfinance_primary,2026-09-22 17:06:09.762586
2026-09-16,BBTN,1185.0,1190.0,1170.0,1170.0,16622400,yfinance_primary,2026-09-22 17:06:09.762586
